hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events,Location1
10/5/2017 19:00,Brooklyn Bridge,635,250,385,clear-night,77,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/27/2017 16:00,Brooklyn Bridge,2701,1375,1326,clear-day,23,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/29/2017 11:00,Brooklyn Bridge,640,302,338,partly-cloudy-day,61,0.0163,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/31/2017 10:00,Brooklyn Bridge,1667,945,722,clear-day,51,0,40.70816397,-73.9995087,Halloween,"(40.7081639691088, -73.9995087014816)"
11/23/2017 18:00,Brooklyn Bridge,512,233,279,clear-night,38,0,40.70816397,-73.9995087,Thanksgiving Day,"(40.7081639691088, -73.9995087014816)"
12/18/2017 10:00,Brooklyn Bridge,768,418,350,cloudy,37,0.0006,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/10/2017 1:00,Brooklyn Bridge,13,7,6,partly-cloudy-night,73,0.0004,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/12/2017 12:00,Brooklyn Bridge,1663,842,821,partly-cloudy-day,59,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/1/2018 23:00,Brooklyn Bridge,56,18,38,clear-night,15,0,40.70816397,-73.9995087,New Year's Day,"(40.7081639691088, -73.9995087014816)"
1/18/2018 6:00,Brooklyn Bridge,32,14,18,clear-night,18,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/14/2017 12:00,Brooklyn Bridge,1079,462,617,partly-cloudy-day,43,0.0002,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/26/2018 0:00,Brooklyn Bridge,39,28,11,partly-cloudy-night,28,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/3/2017 10:00,Brooklyn Bridge,1238,603,635,partly-cloudy-day,44,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
